Kingdom,Phylum,Class,Order,Family,Genus,Species,Response,MeanR,ResponseToCO2Increase
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,Otolith_size,0.675555556,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,larval_survival,0.62,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,steueri,precent normal shells,0.62,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,larval  growth rate,0.75,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,larval shell area,0.694444444,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,Juv growth rate 7 days post,0.75,Increases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,erythraea,Juv growth rate 52 days post,0.694444444,Increases
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,glacialis,Byssal thread strength,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,glacialis,Feeding rate,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Calanidae,Calanus,glacialis,Nutrient release rate,0.694444444,Decreases
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,bifilosa,Urea release,0.575555556,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,bifilosa,Body composition - Carbon,0.594444444,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,tsuensis,Body composition - Nitrogen,0.694444444,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,tsuensis,Emzyme activity,0.694444444,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,tsuensis,Protein content,0.62,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,tsuensis,C:N ratio,0.656666667,No_Response
Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,tsuensis,Gene expression - grastrula,0.694444444,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Gene expression - plutei,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Domoic acid production,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Domoic acid quota,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Growth rate,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Si:C ratio,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Budding,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Time to calification,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Larval size,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Body plan,0.712222222,Decreases
Animalia,Arthropoda,Maxillopoda,Harpacticoida,Tisbidae,Tisbe,battagliai,Stomach size,0.75,Decreases
